Fund ID,Fund,Results Area ID,Results Area,Department,Short Title,Link to Website,Department Description,Control Officer,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015
1,General Fund,1,Open and Effective Government,City Council,Council,http://www.nolacitycouncil.com/,"Most of City Council's funding comes from general fund dollars which pay for passing legislation, staff, hosting public meetings, and overseeing government functions.",City Council,"$1,315,193","$15,309,958","$15,464,012","$15,619,833","$9,859,139","$9,920,916","$9,820,916","$9,719,766","$10,068,766","$10,234,610","$9,722,880","$9,718,880","$7,436,912","$6,240,167","$6,804,023","$7,004,335","$8,123,993","$8,112,190","$8,359,672","$7,727,997","$8,011,602"
1,General Fund,1,Open and Effective Government,Chief Administrative Office,CAO,http://www.nola.gov/chief-administrative-office/,"General Fund dollars pay for benefits administration, city utilities, executive staff, City budget office, city vehicle repair and fuel costs among many other things.",CAO,"$53,898,336","$47,980,829","$56,883,936","$41,873,287","$50,991,032","$45,842,570","$44,391,183","$43,551,612","$45,410,476","$42,059,412","$40,253,562","$43,799,561","$51,563,185","$55,371,986","$61,478,697","$42,696,947","$41,504,762","$45,452,075","$40,131,356","$40,027,422","$38,272,000"
1,General Fund,1,Open and Effective Government,Law Department,Law  ,http://www.nola.gov/city-attorney/,"Most of the Law Department's funding comes from the general fund to pay for legal services for the city, police litigation, as well as enforcing traffic violations.",Mayor,"$7,525,524","$12,128,297","$12,705,092","$10,420,878","$12,425,068","$11,494,633","$6,368,617","$5,956,682","$5,946,682","$21,076,059","$5,985,275","$6,075,275","$9,116,948","$9,870,665","$11,027,133","$8,878,685","$10,000,900","$9,872,102","$5,809,058","$5,655,830","$5,669,144"
1,General Fund,2,Public Safety ,New Orleans Fire Department,Fire,http://www.nola.gov/nofd/,"All of the Fire Department's funding comes from the general fund to pay for salaries, pensions and firefighting activities. ",Deputy Mayor,"$46,616,164","$52,136,805","$54,527,061","$76,447,067","$75,331,641","$83,111,139","$84,915,565","$86,248,045","$96,353,884","$100,713,732","$110,687,212","$112,537,212","$41,674,947","$46,468,974","$77,323,553","$87,018,322","$89,206,608","$87,491,599","$89,134,680","$91,041,305","$101,636,487"
1,General Fund,3,Economic Development ,Safety & Permits Department,Safety and Permits,http://www.nola.gov/safety-and-permits/,Safety and Permit's budget primarily comes from the general fund paying for regulation of permits as well as a one stop shop to acquire business licenses.,CAO,"$3,448,366","$5,828,804","$6,789,265","$4,845,606","$5,368,272","$5,027,675","$4,714,227","$4,339,431","$4,874,704","$5,624,553","$6,751,553","$6,921,553","$3,798,524","$5,101,982","$5,596,745","$5,065,477","$5,368,272","$4,777,472","$4,412,579","$4,108,575","$4,486,205"
1,General Fund,2,Public Safety ,New Orleans Police Department,Police  ,http://www.nola.gov/nopd/,"$130 of NOPD's $140 million dollar budget comes from the general fund. The General Fund budget is spent on field operations, department management, investigation services and pensions. ",Mayor,"$97,156,944","$112,304,721","$119,647,963","$109,222,115","$109,394,564","$118,989,231","$126,784,896","$128,600,368","$138,187,976","$141,222,752","$149,443,448","$151,319,723","$101,375,529","$134,970,675","146,223,978","127,883,538","130,272,813","128,606,454","130,057,262","117,952,737","127,514,814"
1,General Fund,4,Sustainable Communities ,Sanitation Department,Sanitation,http://www.nola.gov/sanitation/,"All of Sanitation's funding comes form the general fund, paying for core sanitaiton services including garbage disposal.",CAO,"$36,281,316","$44,342,640","$42,290,701","$37,956,502","37,795,326","$37,406,673","$37,209,066","$39,230,804","$40,716,741","$41,545,329","$37,705,638","$37,250,000","$33,126,395","$47,727,202","47,934,082","40,251,462","36,830,118","39,138,066","38,633,555","39,463,178","40,882,298"
1,General Fund,2,Public Safety ,Department of Health,Health  ,http://www.nola.gov/health-department/,Department of Health general fund expendatures primarily pay for emergency medical services.,CAO,"$9,673,266","$9,269,759","$10,456,814","$10,490,694","12,549,028","$12,591,993","$13,393,465","$13,775,461","$14,772,015","$15,750,839","$16,700,839","$17,960,839","$9,400,208","$15,912,768","18,702,030","11,600,898","15,139,604","13,365,581","13,073,449","14,294,150","14,708,055"
1,General Fund,2,Public Safety ,Human Services/Youth Study Center,Human Services,http://www.nola.gov/youth-study-center/,"The General Fund covers most of the administrative, food, and medical costs of the youth study center.",Deputy Mayor,"$768,944","$1,263,716","$1,538,364","$2,535,270","2,727,542","2,867,122","$2,379,078","$2,379,078","$2,729,078","$2,767,396","$3,267,396","$5,062,906","$1,283,836","$1,767,783",1971913,2124432,2745554,2539271,2226818,2276885,2665386
1,General Fund,1,Open and Effective Government,Department of Finance,Finance,http://www.nola.gov/finance/,All of the Department of Finance's funding comes from the general fund to pay for servicing debts. ,CAO,"$51,740,642","$53,847,247","$59,005,647","$54,983,699","$53,366,766","$50,465,041","$43,098,615","$43,962,542","$38,707,770","$45,129,835","$48,317,263","$55,629,245","$50,532,169","$54,962,915",53475575,58976160,45211223,219891723,40604725,45797366,46186158
