Expenditures 2009,Department Description,Expenditures 2008,Department,Fund ID,Expenditures 2007,Appropriations 2018,Appropriations 2015,Appropriations 2014,Appropriations 2017,Appropriations 2016,Appropriations 2011,Appropriations 2010,Appropriations 2013,Appropriations 2012,Fund,Control Officer,Results Area ID,Results Area,Expenditures 2015,Expenditures 2014,Short Title,Expenditures 2012,Expenditures 2013,Expenditures 2010,Expenditures 2011,Appropriations 2007,Link to Website,Appropriations 2008,Appropriations 2009
6804023,"Most of City Council's funding comes from general fund dollars which pay for passing legislation, staff, hosting public meetings, and overseeing government functions.",6240167,City Council,1,7436912,9718880,10068766,9719766,9722880,10234610,9859139,15619833,9820916,9920916,General Fund,City Council,1,Open and Effective Government,8011602,7727997,Council,8112190,8359672,7004335,8123993,1315193,http://www.nolacitycouncil.com/,15309958,15464012
61478697,"General Fund dollars pay for benefits administration, city utilities, executive staff, City budget office, city vehicle repair and fuel costs among many other things.",55371986,Chief Administrative Office,1,51563185,43799561,45410476,43551612,40253562,42059412,50991032,41873287,44391183,45842570,General Fund,CAO,1,Open and Effective Government,38272000,40027422,CAO,45452075,40131356,42696947,41504762,53898336,http://www.nola.gov/chief-administrative-office/,47980829,56883936
11027133,"Most of the Law Department's funding comes from the general fund to pay for legal services for the city, police litigation, as well as enforcing traffic violations.",9870665,Law Department,1,9116948,6075275,5946682,5956682,5985275,21076059,12425068,10420878,6368617,11494633,General Fund,Mayor,1,Open and Effective Government,5669144,5655830,Law  ,9872102,5809058,8878685,10000900,7525524,http://www.nola.gov/city-attorney/,12128297,12705092
77323553,"All of the Fire Department's funding comes from the general fund to pay for salaries, pensions and firefighting activities. ",46468974,New Orleans Fire Department,1,41674947,112537212,96353884,86248045,110687212,100713732,75331641,76447067,84915565,83111139,General Fund,Deputy Mayor,2,Public Safety ,101636487,91041305,Fire,87491599,89134680,87018322,89206608,46616164,http://www.nola.gov/nofd/,52136805,54527061
5596745,Safety and Permit's budget primarily comes from the general fund paying for regulation of permits as well as a one stop shop to acquire business licenses.,5101982,Safety & Permits Department,1,3798524,6921553,4874704,4339431,6751553,5624553,5368272,4845606,4714227,5027675,General Fund,CAO,3,Economic Development ,4486205,4108575,Safety and Permits,4777472,4412579,5065477,5368272,3448366,http://www.nola.gov/safety-and-permits/,5828804,6789265
146223978,"$130 of NOPD's $140 million dollar budget comes from the general fund. The General Fund budget is spent on field operations, department management, investigation services and pensions. ",134970675,New Orleans Police Department,1,101375529,151319723,138187976,128600368,149443448,141222752,109394564,109222115,126784896,118989231,General Fund,Mayor,2,Public Safety ,127514814,117952737,Police  ,128606454,130057262,127883538,130272813,97156944,http://www.nola.gov/nopd/,112304721,119647963
47934082,"All of Sanitation's funding comes form the general fund, paying for core sanitaiton services including garbage disposal.",47727202,Sanitation Department,1,33126395,37250000,40716741,39230804,37705638,41545329,37795326,37956502,37209066,37406673,General Fund,CAO,4,Sustainable Communities ,40882298,39463178,Sanitation,39138066,38633555,40251462,36830118,36281316,http://www.nola.gov/sanitation/,44342640,42290701
18702030,Department of Health general fund expendatures primarily pay for emergency medical services.,15912768,Department of Health,1,9400208,17960839,14772015,13775461,16700839,15750839,12549028,10490694,13393465,12591993,General Fund,CAO,2,Public Safety ,14708055,14294150,Health  ,13365581,13073449,11600898,15139604,9673266,http://www.nola.gov/health-department/,9269759,10456814
1971913,"The General Fund covers most of the administrative, food, and medical costs of the youth study center.",1767783,Human Services/Youth Study Center,1,1283836,5062906,2729078,2379078,3267396,2767396,2727542,2535270,2379078,2867122,General Fund,Deputy Mayor,2,Public Safety ,2665386,2276885,Human Services,2539271,2226818,2124432,2745554,768944,http://www.nola.gov/youth-study-center/,1263716,1538364
53475575,All of the Department of Finance's funding comes from the general fund to pay for servicing debts. ,54962915,Department of Finance,1,50532169,55629245,38707770,43962542,48317263,45129835,53366766,54983699,43098615,50465041,General Fund,CAO,1,Open and Effective Government,46186158,45797366,Finance,219891723,40604725,58976160,45211223,51740642,http://www.nola.gov/finance/,53847247,59005647
7325178,General fund dollars for property management pay for the directors office and facilities maitenance.,7339680,Property Management,1,6063327,9099026,7055173,6305380,7932351,7292351,7498646,6941589,6656823,6845297,General Fund,Deputy Mayor,1,Open and Effective Government,7145833,6476948,Property Management,6783461,6847306,7379446,7780248,5911622,http://www.nola.gov/property-management/,6576293,7159843
1718570,"Civil Serice is exclusively funded by the General Fund and uses most of its funding to recruit, develop and maintain a qualified staff of city employees.",1434045,Civil Service,1,1245031,2800500,1864409,1552076,2415000,2172353,1795470,1482984,1469643,1622784,General Fund,CAO,1,Open and Effective Government,1799843,1628308,Civil Service,1589878,1477106,1691709,1750767,1061574,http://www.nola.gov/civil-service/,1525960,1646264
18155202,"The Public Works general fund pays for parking enforcement, street lights, traffic engineering and street maintenance.",17196492,Department of Public Works,1,14500255,33243485,23274571,15624570,32543485,26599363,18669127,17802522,15242280,18079760,General Fund,Deputy Mayor,4,Sustainable Communities ,28949989,19855746,Public Works,22933120,18538185,16489163,20494346,11607403,http://www.nola.gov/dpw/,18236995,18622093
7248611,"Parks and Parkways general fund dollars go toward paying for park maintenance, park planning, and golf course maintenance.",6674138,Department of Parks and Parkways,1,5001079,8892114,7397872,7071248,8892114,8403613,6867566,5969740,6137667,6508978,General Fund,CAO,4,Sustainable Communities ,7652615,6859928,Parks and Parkways,6968979,7081435,6314645,6790738,3855252,http://www.nola.gov/parks-and-parkways/,5031521,5348439
501202,,243718,New Orleans Public Library,1,46878,0,200000,0,0,0,180603,0,0,0,General Fund,Independent Board,5,Children and Families ,0,0,Library,90,0,0,32494,0,http://www.neworleanspubliclibrary.org/welcome.htm,525912,312363
689707,HDLC in entirely funded by the General Fund. Those dollars pay for maintaining historical buildings and landmarks around New Orleans.,606704,Historic District Landmarks Commission,1,459422,944755,884755,533981,944755,884755,994728,603466,638095,638095,General Fund,CAO,4,Sustainable Communities ,732165,681601,HDLC,585203,631566,664514,666769,437980,http://www.nola.gov/hdlc/,580032,607591
331765,VCC is paid for by the General Fund and pays to make sure buildings are up to code in the French Quarter.,336927,Vieux Carre Commission,1,235784,420131,413231,413231,420131,420131,496870,325664,344831,344831,General Fund,CAO,4,Sustainable Communities ,335868,279297,VCC,375171,363867,312747,384449,357744,http://www.nola.gov/vcc/,410574,419612
526,ABC is funded through the general fund and pays for liquor license hearings,1401,Alcoholic Beverages Control Board,1,1295,1500,1500,1500,1500,1500,1500,1179,1500,1500,General Fund,Independent Board,1,Open and Effective Government,483,345,Alcoholic Bvg Ctrl. Bd.,0,0,34,14,1500,http://nolacitycouncil.com/resources/resources_alcoholicbev_board.asp,1500,1455
1321729,CPC's general fund dollars go to pay for core services including reviewing over 500 land use applications per year,1149491,City Planning Commission,1,985250,2081348,1527327,997838,2081348,1996348,1794436,1342012,1594134,1781439,General Fund,Deputy Mayor,4,Sustainable Communities ,1396088,1052160,CPC,1568087,1447809,1269541,1513945,1458278,http://www.nola.gov/city-planning/,1430105,1429090
2293307,"MTRCB's core funding, provide from the general fund, pays for management of pests throughout the city",2174392,"Mosquito, Termite and Rodent Control Board",1,2636451,2823407,2078507,2078507,2328407,2078507,2646030,2361588,2078510,2309627,General Fund,Deputy Mayor,5,Children and Families ,2094665,2229101,Mosquito Control Bd.,2237800,2078352,2266744,2180692,1949756,http://www.nola.gov/mosquito/,2323588,2463730
242499,NOMA is paid for by the general fund which covers museum operations and acquisitions. ,0,New Orleans Museum of Art,1,104361,128931,128931,128931,128931,128931,196000,196425,151683,167772,General Fund,Independent Board,5,Children and Families ,128931,128931,NOMA,164417,151683,196425,176400,104364,http://noma.org/,2500,218250
1680518,"The Office of the Inspector General is paid for primarily by the General Fund. This funding pays for staff, ethical review boards, and fraud investigations. ",1680518,Inspector General,1,56593,3881007,4453854,4217021,3706387,4841414,3635514,3437605,3685336,3668522,General Fund,Independent Board,6,Inspector General,3940756,3940756,OIG,3558645,3875227,2731230,3447258,250000,http://www.nolaoig.org/main/,3430000,3600670
0,"The Independent Police Monitor is paid for by the General Fund. The OIPM is an independent, civilian organization that fields complaints about the police and make sure that they are handeled in an appropriate, effective way.",0,Independent Police Monitor,1,0,258521,0,0,983283,0,0,0,0,0,General Fund,Independent Board,1,Open and Effective Government,0,0,Police Monitor,0,0,0,0,0,http://www.nolaipm.gov/main/index.php?page=home,0,0
2012977,Community Developmen receives no General Fund dollars,353,Office of Community Development,1,698,0,0,0,0,0,0,503700,0,0,General Fund,CAO,1,Open and Effective Government,0,0,Community Development,0,0,10182,0,0,http://www.nola.gov/community-development/,0,0
5916841,"The New Orleans DA is funded by the General Fund. The funding pays for core services including staff and trial expenses, along with funding the Innocence Project.",3616131,Orleans Parish District Attorney's Office,1,3096130,6078029,6476671,6271671,6078029,6678029,6166265,5589519,6271671,6666265,General Fund,District Attorney,2,Public Safety ,6676670,6271671,District Attorney,6412956,6271671,5889509,6166265,3166131,http://orleansda.com/,3616131,5766132
1736211,The Coroner's funding comes completely through the General Fund. ,1454871,New Orleans Coroner's Office,1,1466288,2429370,2176605,1781605,2429370,2379370,1478597,1505100,1669099,1669099,General Fund,Coroner,2,Public Safety ,2177917,2078005,Coroner,1741489,1841720,1601222,1837234,1370346,http://louisianasca.org/parish-offices/orleans-parish/,1425782,1611763
3622808,"Juvenile Court is paid for through the General Fund with most of the money going to pay for receptions, resources and skills center, whose goal is to assist judges in finding appropriate programs for youth, decrease the amount of time spent in custody, ensure youth appear in court when mandated, and protect public safety.",2919119,Orleans Parish Juvenile Court,1,1699725,2740642,2470534,3025203,2740642,2644642,3961913,3236427,2615283,3743800,General Fund,Juvenile Court,2,Public Safety ,2624317,3197405,Juvenile Court,3594456,3466248,3646989,3826663,1497383,http://opjc.com/,3136121,3601035
0,First City Court only recieves General Fund dollars from the City of New Orleans.,0,Orleans Parish First City Court,1,0,6000,6000,6000,6000,6000,6000,5400,6000,6000,General Fund,First City Court,2,Public Safety ,0,0,First City Court,0,0,0,0,6000,http://www.orleanscdc.com/fccintro.html,6000,6000
